Team,Conf,HCA
West Virginia,B12,4.6
Utah,B12,4.5
Texas Tech,B12,4.3
Wake Forest,ACC,4.2
Bradley,MVC,4.1
TCU,B12,4.1
Utah St.,MWC,4.1
Oklahoma St.,B12,4.0
Nevada,MWC,4.0
BYU,B12,4.0
Colorado,B12,4.0
Saint Louis,A10,4.0
Cincinnati,B12,4.0
New Mexico,MWC,4.0
Oklahoma,SEC,3.9
Rutgers,B10,3.9
Evansville,MVC,3.8
Iowa St.,B12,3.8
North Carolina,ACC,3.8
Illinois St.,MVC,3.8
St. Bonaventure,A10,3.7
Kansas,B12,3.7
Middle Tennessee,CUSA,3.7
Colorado St.,MWC,3.7
Kansas St.,B12,3.7
Auburn,SEC,3.7
Mississippi St.,SEC,3.6
Baylor,B12,3.6
Xavier,BE,3.6
Arkansas,SEC,3.6
Wyoming,MWC,3.6
Tennessee,SEC,3.6
Nebraska Omaha,Sum,3.6
Marquette,BE,3.6
Connecticut,BE,3.5
Kentucky,SEC,3.5
Alabama,SEC,3.5
Tulsa,Amer,3.5
Utah Valley,WAC,3.5
Washington St.,WCC,3.5
Virginia,ACC,3.5
Memphis,Amer,3.5
Virginia Tech,ACC,3.5
South Dakota St.,Sum,3.5
Arizona,B12,3.5
Indiana St.,MVC,3.5
Grand Canyon,MWC,3.5
Maryland,B10,3.4
Charlotte,Amer,3.4
UTEP,CUSA,3.4
UCLA,B10,3.4
Tennessee St.,OVC,3.4
Oregon St.,WCC,3.4
Dayton,A10,3.4
Loyola Chicago,A10,3.4
Western Kentucky,CUSA,3.4
George Mason,A10,3.4
Missouri,SEC,3.4
Denver,Sum,3.4
New Mexico St.,CUSA,3.4
San Diego St.,MWC,3.4
Boise St.,MWC,3.4
Howard,MEAC,3.3
Missouri St.,CUSA,3.3
Clemson,ACC,3.3
Nebraska,B10,3.3
Louisville,ACC,3.3
Texas,SEC,3.3
Creighton,BE,3.3
Weber St.,BSky,3.3
Drake,MVC,3.3
Villanova,BE,3.3
North Carolina Central,MEAC,3.3
Northern Iowa,MVC,3.3
Stanford,ACC,3.3
Milwaukee,Horz,3.3
Georgia,SEC,3.3
SMU,ACC,3.2
Michigan St.,B10,3.2
Penn St.,B10,3.2
La Salle,A10,3.2
Iowa,B10,3.2
Oregon,B10,3.2
UCF,B12,3.2
FIU,CUSA,3.2
Montana St.,BSky,3.2
Arizona St.,B12,3.2
Wichita St.,Amer,3.2
Houston,B12,3.2
N.C. State,ACC,3.2
Boston College,ACC,3.2
Oral Roberts,Sum,3.2
Indiana,B10,3.2
Cal Baptist,WAC,3.2
Tarleton St.,WAC,3.2
Duke,ACC,3.2
USC,B10,3.2
Southern,SWAC,3.2
Ohio St.,B10,3.2
California,ACC,3.1
Air Force,MWC,3.1
UNLV,MWC,3.1
Purdue,B10,3.1
Eastern Kentucky,ASun,3.1
UAB,Amer,3.1
Massachusetts,MAC,3.1
DePaul,BE,3.1
Hampton,CAA,3.1
St. Thomas,Sum,3.1
Saint Joseph's,A10,3.1
Ohio,MAC,3.1
Eastern Michigan,MAC,3.1
Kennesaw St.,CUSA,3.1
South Dakota,Sum,3.1
Maryland Eastern Shore,MEAC,3.1
Wisconsin,B10,3.1
Providence,BE,3.1
Vanderbilt,SEC,3.1
